filename,orig_start,orig_end,block,avg_conf,t_start,t_end
A152,65,69,bottom_right,0.2258589704831441,4.266666666666667,4.533333333333333
A55,134,138,bottom_left,0.22664004762967424,8.866666666666667,9.133333333333333
A58,156,160,bottom_right,0.22680221001307166,10.333333333333334,10.6
A110,89,93,top_left,0.22721863985061644,5.866666666666666,6.133333333333334
A108,140,144,bottom_left,0.2273157666126887,9.266666666666667,9.533333333333333
A59,125,129,bottom_left,0.22851980974276861,8.266666666666667,8.533333333333333
A55,149,153,bottom_left,0.22957675953706103,9.866666666666667,10.133333333333333
W21,64,68,bottom_right,0.23018509050210315,4.2,4.466666666666667
W31,102,106,bottom_left,0.23047823458909988,6.733333333333333,7.0
B19,114,118,bottom_right,0.23067730665206906,7.533333333333333,7.8
A110,84,88,top_right,0.23069174985090887,5.533333333333333,5.8
W21,59,63,bottom_right,0.23115344047546385,3.8666666666666667,4.133333333333334
W10,89,93,bottom_left,0.23118162453174587,5.866666666666666,6.133333333333334
W28,47,51,bottom_left,0.23134736319382987,3.066666666666667,3.3333333333333335
A103,111,115,top_left,0.2325364331404368,7.333333333333333,7.6
A112,75,79,top_right,0.23294611920913058,4.933333333333334,5.2
W28,52,56,bottom_right,0.23368665327628454,3.4,3.6666666666666665
B15,125,129,top_left,0.2342574561635653,8.266666666666667,8.533333333333333
A56,143,147,bottom_left,0.2346578866243362,9.466666666666667,9.733333333333333
W21,69,73,bottom_right,0.23474346796671544,4.533333333333333,4.8
W31,107,111,bottom_right,0.2359738086660703,7.066666666666666,7.333333333333333
A112,70,74,bottom_right,0.2359848270813624,4.6,4.866666666666666
A45,130,134,bottom_right,0.23635100473960238,8.6,8.866666666666667
A156,101,105,bottom_right,0.23643261591593423,6.666666666666667,6.933333333333334
B17,131,135,bottom_right,0.23653618892033892,8.666666666666666,8.933333333333334
A59,145,149,bottom_left,0.2366859267155329,9.6,9.866666666666667
A113,72,76,bottom_left,0.23830280154943462,4.733333333333333,5.0
W18,94,98,bottom_left,0.2386575440565745,6.2,6.466666666666667
A153,59,63,bottom_right,0.23928858935832975,3.8666666666666667,4.133333333333334
A149,40,44,bottom_right,0.23934383491675057,2.6,2.8666666666666667
W28,57,61,bottom_left,0.24019775589307146,3.7333333333333334,4.0
A115,75,79,top_left,0.2404702226320902,4.933333333333334,5.2
A115,90,94,top_left,0.24104042996962863,5.933333333333334,6.2
A55,129,133,bottom_right,0.24144935409228005,8.533333333333333,8.8
W34,115,119,bottom_right,0.2417189836502075,7.6,7.866666666666666
W28,72,76,bottom_right,0.24188644786675764,4.733333333333333,5.0
W36,106,110,bottom_right,0.24242405295372005,7.0,7.266666666666667
A50,90,94,bottom_right,0.2425993730624517,5.933333333333334,6.2
A86,147,151,top_left,0.24260935286680854,9.733333333333333,10.0
A150,57,61,top_left,0.2427825113137563,3.7333333333333334,4.0
A45,115,119,bottom_right,0.24308760861555734,7.6,7.866666666666666
W11,116,120,bottom_right,0.24331376651922862,7.666666666666667,7.933333333333334
W36,121,125,top_left,0.24374979138374328,8.0,8.266666666666667
A112,65,69,bottom_right,0.24391191701094309,4.266666666666667,4.533333333333333
A110,99,103,top_right,0.244272751112779,6.533333333333333,6.8
A149,45,49,bottom_right,0.2447738468647003,2.933333333333333,3.2
W36,116,120,bottom_left,0.24492990473906198,7.666666666666667,7.933333333333334
A50,80,84,bottom_left,0.2451370944579442,5.266666666666667,5.533333333333333
A159,55,59,bottom_right,0.245805025100708,3.6,3.8666666666666667
A52,88,92,bottom_right,0.2459235350290934,5.8,6.066666666666666
A110,94,98,top_right,0.24605376298228898,6.2,6.466666666666667
B8,109,113,bottom_right,0.24606915662686027,7.2,7.466666666666667
A87,169,173,bottom_left,0.24651878674825034,11.2,11.466666666666667
A52,83,87,bottom_left,0.24695943097273507,5.466666666666667,5.733333333333333
A86,107,111,top_right,0.2472255210081736,7.066666666666666,7.333333333333333
B20,115,119,top_left,0.24833418230215706,7.6,7.866666666666666
B6,144,148,bottom_right,0.24872088829676306,9.533333333333333,9.8
A81,134,138,bottom_right,0.24879356424013768,8.866666666666667,9.133333333333333
A108,130,134,top_right,0.2491448918978373,8.6,8.866666666666667
B10,108,112,bottom_right,0.24926443894704184,7.133333333333334,7.4
